000AD9A7, VCU_INV_Torque_Command, -338
000AD9A7, VCU_INV_Speed_Command, -338
000AD9A7, VCU_INV_Direction_Command, CW
000AD9A7, VCU_INV_Inverter_Enable, Turn the Inverter ON
000AD9A7, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000AD9A7, VCU_INV_Speed_Mode_Enable, 1
000AD9A7, VCU_INV_Torque_Limit_Command, -1000.0
000AD9A7, VCU_INV_Torque_Command, -344
000AD9A7, VCU_INV_Speed_Command, -344
000AD9A7, VCU_INV_Direction_Command, CW
000AD9A7, VCU_INV_Inverter_Enable, Turn the inverter OFF
000AD9A7, VCU_INV_Inverter_Discharge, Discharge Disable
000AD9A7, VCU_INV_Speed_Mode_Enable, 0
000AD9A7, VCU_INV_Torque_Limit_Command, -1000.0
000AD9A7, VCU_INV_Torque_Command, -350
000AD9A7, VCU_INV_Speed_Command, -350
000AD9A7, VCU_INV_Direction_Command, CW
000AD9A7, VCU_INV_Inverter_Enable, Turn the Inverter ON
000AD9A7, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000AD9A7, VCU_INV_Speed_Mode_Enable, 1
000AD9A7, VCU_INV_Torque_Limit_Command, -1000.0
000AD9A7, VCU_INV_Torque_Command, -356
000AD9A7, VCU_INV_Speed_Command, -356
000AD9A7, VCU_INV_Direction_Command, CW
000AD9A7, VCU_INV_Inverter_Enable, Turn the inverter OFF
000AD9A7, VCU_INV_Inverter_Discharge, Discharge Disable
000AD9A7, VCU_INV_Speed_Mode_Enable, 0
000AD9A7, VCU_INV_Torque_Limit_Command, -1000.0
000AD9A7, VCU_INV_Torque_Command, -362
000AD9A7, VCU_INV_Speed_Command, -362
000AD9A7, VCU_INV_Direction_Command, CW
000AD9A7, VCU_INV_Inverter_Enable, Turn the Inverter ON
000AD9A7, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000AD9A7, VCU_INV_Speed_Mode_Enable, 1
000AD9A7, VCU_INV_Torque_Limit_Command, -1000.0
000AD9A7, VCU_INV_Torque_Command, -368
